"p","w","t"
"0.05","2","20"
"0.05","3","30"
"0.05","4","40"
"0.05","5","60"
"0.05","6","60"
"0.05","7","80"
"0.05","8","90"
"0.05","9","90"
"0.05","10","110"
"0.05","11","110"
"0.05","12","120"
"0.05","13","150"
"0.05","14","140"
"0.05","15","160"
"0.05","16","170"
"0.05","17","170"
"0.05","18","180"
"0.05","19","210"
"0.05","20","220"
"0.05","21","220"
"0.05","22","220"
"0.05","23","250"
"0.05","24","260"
"0.05","25","270"
"0.05","26","280"
"0.05","27","270"
"0.05","28","290"
"0.05","29","300"
"0.05","30","300"
"0.05","31","310"
"0.05","32","330"
"0.05","33","340"
"0.05","34","360"
"0.05","35","380"
"0.05","36","410"
"0.05","37","400"
"0.05","38","410"
"0.05","39","410"
"0.05","40","420"
"0.05","41","430"
"0.05","42","420"
"0.05","43","450"
"0.05","44","450"
"0.05","45","480"
"0.05","46","470"
"0.05","47","480"
"0.05","48","480"
"0.05","49","500"
"0.1","2","30"
"0.1","3","30"
"0.1","4","40"
"0.1","5","50"
"0.1","6","60"
"0.1","7","70"
"0.1","8","80"
"0.1","9","110"
"0.1","10","110"
"0.1","11","130"
"0.1","12","150"
"0.1","13","130"
"0.1","14","150"
"0.1","15","190"
"0.1","16","170"
"0.1","17","170"
"0.1","18","210"
"0.1","19","210"
"0.1","20","200"
"0.1","21","210"
"0.1","22","230"
"0.1","23","250"
"0.1","24","290"
"0.1","25","260"
"0.1","26","260"
"0.1","27","310"
"0.1","28","330"
"0.1","29","310"
"0.1","30","370"
"0.1","31","370"
"0.1","32","350"
"0.1","33","370"
"0.1","34","400"
"0.1","35","380"
"0.1","36","410"
"0.1","37","370"
"0.1","38","440"
"0.1","39","450"
"0.1","40","430"
"0.1","41","450"
"0.1","42","420"
"0.1","43","480"
"0.1","44","520"
"0.1","45","480"
"0.1","46","500"
"0.1","47","520"
"0.1","48","530"
"0.1","49","560"
"0.15000000000000002","2","20"
"0.15000000000000002","3","30"
"0.15000000000000002","4","40"
"0.15000000000000002","5","50"
"0.15000000000000002","6","80"
"0.15000000000000002","7","90"
"0.15000000000000002","8","100"
"0.15000000000000002","9","100"
"0.15000000000000002","10","110"
"0.15000000000000002","11","110"
"0.15000000000000002","12","180"
"0.15000000000000002","13","170"
"0.15000000000000002","14","200"
"0.15000000000000002","15","170"
"0.15000000000000002","16","180"
"0.15000000000000002","17","200"
"0.15000000000000002","18","200"
"0.15000000000000002","19","210"
"0.15000000000000002","20","220"
"0.15000000000000002","21","240"
"0.15000000000000002","22","270"
"0.15000000000000002","23","260"
"0.15000000000000002","24","260"
"0.15000000000000002","25","330"
"0.15000000000000002","26","300"
"0.15000000000000002","27","340"
"0.15000000000000002","28","350"
"0.15000000000000002","29","320"
"0.15000000000000002","30","340"
"0.15000000000000002","31","410"
"0.15000000000000002","32","360"
"0.15000000000000002","33","440"
"0.15000000000000002","34","430"
"0.15000000000000002","35","390"
"0.15000000000000002","36","450"
"0.15000000000000002","37","420"
"0.15000000000000002","38","510"
"0.15000000000000002","39","430"
"0.15000000000000002","40","440"
"0.15000000000000002","41","480"
"0.15000000000000002","42","480"
"0.15000000000000002","43","490"
"0.15000000000000002","44","500"
"0.15000000000000002","45","520"
"0.15000000000000002","46","560"
"0.15000000000000002","47","510"
"0.15000000000000002","48","530"
"0.15000000000000002","49","600"
"0.2","2","20"
"0.2","3","30"
"0.2","4","50"
"0.2","5","70"
"0.2","6","60"
"0.2","7","70"
"0.2","8","90"
"0.2","9","130"
"0.2","10","150"
"0.2","11","140"
"0.2","12","170"
"0.2","13","150"
"0.2","14","160"
"0.2","15","170"
"0.2","16","200"
"0.2","17","210"
"0.2","18","200"
"0.2","19","230"
"0.2","20","250"
"0.2","21","260"
"0.2","22","240"
"0.2","23","280"
"0.2","24","240"
"0.2","25","360"
"0.2","26","330"
"0.2","27","330"
"0.2","28","380"
"0.2","29","370"
"0.2","30","370"
"0.2","31","370"
"0.2","32","390"
"0.2","33","400"
"0.2","34","420"
"0.2","35","430"
"0.2","36","400"
"0.2","37","460"
"0.2","38","420"
"0.2","39","460"
"0.2","40","450"
"0.2","41","540"
"0.2","42","550"
"0.2","43","520"
"0.2","44","580"
"0.2","45","550"
"0.2","46","580"
"0.2","47","590"
"0.2","48","580"
"0.2","49","680"
"0.25","2","30"
"0.25","3","40"
"0.25","4","50"
"0.25","5","60"
"0.25","6","80"
